mean_silence_duration,variance_silence_duration,mean_activity_duration,variance_activity_duration,30_quartile_activity_duration,60_quartile_activity_duration,90_quartile_activity_duration,tcp_upload_bytes_std_dev,tcp_download_bytes_std_dev,udp_upload_bytes_std_dev,udp_download_bytes_std_dev,tcp_upload_bytes_mean,tcp_download_bytes_mean,udp_upload_bytes_mean,udp_download_bytes_mean,95_percentile_upload_bytes,98_percentile_upload_bytes,95_percentile_download_bytes,98_percentile_download_bytes,bytes_mean,bytes_std_dev,packets_mean,packets_std_dev
4.478,56.163,2.043,2.085,1.000,2.000,4.000,83.085,192.707,4397.032,69878.650,22.127,56.213,1477.143,8753.180,8726.950,17585.920,5931.400,62962.140,10308.663,72424.371,12.463,72.586
3.882,37.280,2.040,2.038,1.000,2.000,4.000,81.580,198.382,4394.306,69876.984,23.413,64.163,1516.470,8766.683,8726.950,17585.920,5931.400,62962.140,10370.730,72416.593,12.683,72.559
3.304,15.747,2.091,1.937,1.000,2.000,4.000,81.836,206.553,4454.822,69948.042,25.813,75.857,1667.373,9204.600,9930.100,17585.920,12362.250,62962.140,10973.643,72490.243,13.720,72.691
3.000,8.800,2.034,1.863,1.000,2.000,4.000,82.491,209.767,4454.822,69948.042,27.147,82.003,1667.373,9204.600,9930.100,17585.920,12362.250,62962.140,10981.123,72489.135,13.800,72.680
3.136,11.304,1.983,1.810,1.000,2.000,4.000,82.745,142.240,3523.800,53670.793,27.860,75.113,1277.723,5641.130,6586.350,14069.300,4430.900,39572.580,7021.827,55415.915,9.677,55.114
3.792,27.259,1.904,1.818,1.000,2.000,4.000,82.469,143.501,2849.022,49909.989,28.080,78.390,968.050,4027.993,6145.700,11152.060,2303.300,23207.540,5102.513,51603.440,7.637,51.616
4.347,36.390,1.776,1.113,1.000,2.000,4.000,78.545,135.277,1652.023,4582.260,25.027,70.857,598.193,729.123,3505.950,6530.000,1657.250,4430.360,1423.200,5504.136,3.443,8.345
4.449,39.349,1.708,0.915,1.000,2.000,3.300,78.613,136.120,1609.670,4212.652,25.027,71.297,554.257,609.297,3371.050,6352.600,1642.750,3581.320,1259.877,5069.708,3.190,7.857
4.830,46.992,1.587,0.808,1.000,1.000,2.500,78.917,124.101,1546.132,4212.004,24.270,65.113,481.547,574.107,2874.750,5095.580,1641.050,3581.320,1145.037,5046.328,2.877,7.751
6.128,58.214,1.605,0.923,1.000,1.000,3.300,78.204,120.235,1364.466,4206.836,21.690,58.683,387.017,531.943,2773.100,4962.200,1460.700,2263.540,999.333,4958.437,2.463,7.462
6.917,59.965,1.457,0.648,1.000,1.000,2.000,77.716,114.403,1223.118,4200.247,19.290,48.733,307.947,494.223,2762.500,4815.900,878.500,2235.040,870.193,4888.551,2.063,7.160
7.636,63.080,1.455,0.551,1.000,1.000,2.000,82.956,211.207,6382.177,252177.865,18.780,52.517,1003.010,29941.693,3555.000,11375.000,2214.100,67933.200,31016.000,256070.390,30.190,238.944
8.600,69.107,1.448,1.351,1.000,1.000,2.000,172.740,886.760,7442.862,266568.220,25.307,92.377,1377.053,38222.730,4820.250,20146.360,2250.500,619399.460,39717.467,270828.750,38.880,253.730
9.593,71.501,1.519,1.509,1.000,1.000,2.400,178.384,886.347,7449.085,266565.744,28.003,90.340,1413.057,38240.567,4991.100,20146.360,2556.750,619399.460,39771.967,270821.527,38.973,253.720
9.962,73.114,1.640,1.990,1.000,1.000,2.600,178.438,886.542,7599.163,266556.186,28.140,90.483,1521.797,38353.713,5630.700,22013.480,3503.100,619399.460,39994.133,270811.314,39.370,253.745
9.143,60.694,1.571,1.816,1.000,1.000,2.300,178.572,886.387,7601.439,266555.027,28.460,88.800,1538.787,38362.040,5630.700,22013.480,3503.100,619399.460,40018.087,270808.130,39.440,253.736
8.862,42.602,1.536,1.820,1.000,1.000,2.300,171.164,886.279,7602.422,266555.791,25.807,89.013,1519.980,38356.670,5661.100,22013.480,3503.100,619399.460,39991.470,270811.909,39.410,253.740
8.862,38.188,1.536,1.820,1.000,1.000,2.300,171.169,887.710,7602.422,266555.791,25.677,89.713,1519.980,38356.670,5661.100,22013.480,3503.100,619399.460,39992.040,270811.830,39.410,253.741
9.214,37.668,1.556,1.877,1.000,1.000,2.400,170.914,887.511,7602.422,266555.791,25.020,87.583,1519.980,38356.670,5661.100,22013.480,3503.100,619399.460,39989.253,270812.239,39.390,253.744
8.862,38.809,1.536,1.820,1.000,1.000,2.300,171.026,887.847,7600.534,266556.833,26.410,91.130,1503.937,38349.213,5661.100,22013.480,3503.100,619399.460,39970.690,270814.677,39.380,253.743
10.000,62.538,1.600,2.000,1.000,1.000,2.600,170.889,887.827,7600.295,266557.478,26.767,93.320,1482.710,38344.690,5661.100,22013.480,3503.100,619399.460,39947.487,270817.920,39.363,253.745
11.565,63.637,1.478,2.076,1.000,1.000,1.800,161.391,869.475,4369.055,89286.917,23.513,84.170,721.330,8873.163,2819.800,8837.540,720.200,16300.420,9702.177,91292.112,10.950,88.675
11.696,58.386,1.292,0.707,1.000,1.000,2.000,55.915,107.162,1732.102,1909.210,16.463,40.427,196.383,154.210,134.000,2917.300,343.150,1349.420,407.483,3609.224,1.333,7.090
11.208,56.082,1.292,0.457,1.000,1.000,2.000,58.630,107.118,1750.421,1907.532,15.347,39.087,211.957,157.757,134.000,4167.800,347.700,1544.440,424.147,3627.244,1.360,7.163
10.308,54.213,1.231,0.408,1.000,1.000,2.000,58.556,104.551,1504.371,2025.672,15.483,38.477,198.723,163.103,134.000,4705.000,343.150,1545.140,415.787,3457.012,1.383,7.075
9.536,51.963,1.222,0.395,1.000,1.000,2.000,60.393,108.589,1495.134,2021.413,16.407,40.370,195.597,157.123,134.000,4207.000,347.700,1019.600,409.497,3441.636,1.387,7.040
9.138,54.119,1.250,0.402,1.000,1.000,2.000,88.318,111.322,1597.707,2027.473,19.817,40.847,250.170,173.100,134.450,5580.440,473.450,1846.200,483.933,3524.815,1.520,7.237
9.000,55.724,1.393,0.667,1.000,1.000,2.000,89.393,107.697,1664.813,11260.757,21.233,44.757,285.633,824.243,200.800,5749.440,639.200,1948.860,1175.867,12077.700,2.410,15.308
8.966,58.309,1.429,0.673,1.000,1.000,2.000,89.639,124.700,1664.813,11260.757,21.760,51.137,285.633,824.243,200.800,5749.440,700.200,1948.860,1182.773,12077.270,2.457,15.313
8.533,54.582,1.517,0.732,1.000,1.000,2.200,94.810,120.844,1695.366,11260.573,23.517,48.960,320.177,839.970,2548.050,5749.440,749.100,1948.860,1232.623,12081.320,2.547,15.339
7.636,34.050,1.500,0.688,1.000,1.000,2.000,95.028,121.788,2065.316,11370.965,23.560,48.837,389.957,936.420,2761.650,5775.480,828.450,2188.920,1398.773,12391.688,2.880,16.295
8.500,55.650,1.552,0.730,1.000,1.000,2.200,94.711,118.373,2065.316,11370.965,22.973,47.217,389.957,936.420,2761.650,5775.480,828.450,2188.920,1396.567,12391.881,2.860,16.295
9.250,76.045,1.519,0.768,1.000,1.000,2.400,94.068,111.735,2065.316,11370.965,21.630,41.867,389.957,936.420,2761.650,5775.480,828.450,2188.920,1389.873,12392.509,2.777,16.294
8.633,75.832,1.367,0.499,1.000,1.000,2.000,241.423,670.960,2286.861,11393.239,33.533,105.580,402.607,959.347,2548.050,6019.720,863.850,2292.680,1501.067,12613.748,2.960,16.606
9.357,77.015,1.357,0.515,1.000,1.000,2.000,241.614,671.266,1860.302,11223.978,33.693,107.067,291.290,833.403,247.350,4649.920,706.600,1948.860,1265.453,12190.984,2.480,15.316
9.778,72.173,1.385,0.544,1.000,1.000,2.000,241.197,670.944,1846.876,11224.079,33.297,108.553,277.427,831.057,210.000,4649.920,702.800,1948.860,1250.333,12189.272,2.440,15.301
9.778,71.284,1.385,0.544,1.000,1.000,2.000,238.830,673.504,1835.545,11224.183,33.137,113.440,275.163,833.760,210.000,4651.560,761.000,2261.180,1255.500,12191.991,2.477,15.347
9.926,79.995,1.231,0.254,1.000,1.000,2.000,238.434,672.825,1774.697,1816.781,31.270,108.347,239.700,182.617,145.500,3982.240,627.750,1939.320,561.933,3912.443,1.570,7.321
9.571,77.388,1.185,0.225,1.000,1.000,2.000,238.375,671.043,1774.697,1816.781,31.403,105.797,239.700,182.617,134.500,3982.240,609.900,1939.320,559.517,3912.328,1.560,7.308
10.500,79.481,1.080,0.074,1.000,1.000,1.000,236.436,671.125,1743.939,1812.223,28.703,104.297,205.157,166.890,134.000,3055.640,361.200,1332.700,505.047,3891.561,1.423,7.242
10.960,84.758,1.083,0.076,1.000,1.000,1.000,236.410,671.020,1310.119,807.988,29.370,106.920,153.390,77.877,134.000,3055.640,358.000,1332.340,367.557,2725.189,1.183,4.723
9.679,58.575,1.074,0.069,1.000,1.000,1.000,236.410,671.044,1332.459,809.440,29.370,107.033,174.230,82.400,134.000,3464.300,365.500,1332.340,393.033,2739.466,1.230,4.742
