mean_silence_duration,variance_silence_duration,mean_activity_duration,variance_activity_duration,30_quartile_activity_duration,60_quartile_activity_duration,90_quartile_activity_duration,tcp_upload_bytes_std_dev,tcp_download_bytes_std_dev,udp_upload_bytes_std_dev,udp_download_bytes_std_dev,tcp_upload_bytes_mean,tcp_download_bytes_mean,udp_upload_bytes_mean,udp_download_bytes_mean,95_percentile_upload_bytes,98_percentile_upload_bytes,95_percentile_download_bytes,98_percentile_download_bytes,bytes_mean,bytes_std_dev,packets_mean,packets_std_dev
18.733,219.662,1.357,0.230,1.000,1.000,2.000,27.908,49.488,0.000,0.000,7.620,11.460,0.000,0.000,80.000,124.200,112.000,116.420,19.080,72.142,0.267,0.964
20.000,261.571,1.538,0.249,1.000,2.000,2.000,27.200,48.087,0.000,0.000,7.487,11.710,0.000,0.000,80.000,124.000,112.000,186.420,19.197,70.123,0.267,0.939
17.312,214.965,1.438,0.246,1.000,2.000,2.000,28.840,51.257,0.000,0.000,8.613,13.417,0.000,0.000,84.000,124.200,114.000,207.760,22.030,74.735,0.307,1.000
17.375,211.984,1.375,0.234,1.000,1.000,2.000,26.785,46.992,262.663,167.467,7.487,11.537,25.107,11.613,84.500,134.000,114.000,245.820,55.743,417.323,0.353,1.422
17.375,190.734,1.467,0.249,1.000,2.000,2.000,28.241,46.632,321.701,182.589,7.620,11.347,40.287,15.860,95.500,135.400,114.000,247.780,75.113,489.442,0.400,1.583
14.421,191.823,1.444,0.247,1.000,2.000,2.000,31.296,60.614,321.701,182.589,9.413,15.703,40.287,15.860,124.000,135.400,114.000,300.620,81.263,491.318,0.483,1.716
14.474,161.091,1.389,0.238,1.000,1.200,2.000,30.520,63.969,321.701,182.589,9.087,16.773,40.287,15.860,124.000,135.400,114.000,380.100,82.007,491.686,0.487,1.721
16.235,135.356,1.500,0.250,1.000,2.000,2.000,30.203,61.885,321.701,182.589,8.820,15.793,40.287,15.860,124.000,135.400,114.000,380.100,80.760,491.409,0.473,1.710
16.294,151.384,1.438,0.246,1.000,2.000,2.000,30.423,61.560,321.701,182.589,8.820,15.443,40.287,15.860,120.200,174.600,114.000,380.100,80.410,491.452,0.473,1.717
15.278,166.534,1.471,0.249,1.000,2.000,2.000,32.034,62.350,321.701,182.589,9.947,16.807,40.287,15.860,124.000,174.600,114.000,380.100,82.900,491.554,0.513,1.744
14.474,124.670,1.389,0.238,1.000,1.200,2.000,31.816,74.198,321.701,182.589,9.887,19.283,40.287,15.860,124.000,174.600,121.250,385.020,85.317,493.499,0.543,1.852
15.389,134.460,1.353,0.228,1.000,1.000,2.000,32.123,72.260,321.701,182.589,9.620,17.793,40.287,15.860,124.000,174.600,114.250,385.020,83.560,493.383,0.523,1.846
15.389,168.682,1.353,0.228,1.000,1.000,2.000,58.016,381.539,363.477,224.596,12.580,39.477,50.207,23.477,124.000,227.680,119.000,389.020,125.740,875.280,0.643,2.670
13.650,165.627,1.350,0.228,1.000,1.000,2.000,58.966,381.910,512.188,228.770,14.507,42.937,81.427,32.537,134.000,1997.320,188.350,775.200,171.407,988.831,0.790,2.883
